epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,243.606,0.84862,1.37017,0.41259,0.68573,0.63033,0.60779,0.18603,0.80629,0.5235,0.54969,0.000664778,0.000664778,0.000664778
2,487.714,0.7139,0.60459,0.33798,0.69025,0.66991,0.65132,0.21666,0.76412,0.53355,0.49402,0.00126554,0.00126554,0.00126554
3,726.144,0.71684,0.58788,0.34415,nan,0.8852,0.6674,0.22943,nan,nan,nan,0.0018003,0.0018003,0.0018003
4,961.187,0.69505,0.5895,0.33052,nan,0.85505,0.654,0.20424,nan,nan,nan,0.001703,0.001703,0.001703
5,1199.44,0.68335,0.58517,0.32494,0.68071,0.70311,0.5894,0.18672,0.7943,0.49568,0.5364,0.001604,0.001604,0.001604
6,1429.83,0.6766,0.57293,0.32054,0.72038,0.73599,0.66878,0.22227,0.75271,0.50077,0.49682,0.001505,0.001505,0.001505
7,1674.5,0.66729,0.57778,0.31451,nan,0.87302,0.68579,0.24391,nan,nan,nan,0.001406,0.001406,0.001406
8,1915.8,0.66918,0.56607,0.31614,nan,0.47046,0.33787,0.11588,nan,nan,nan,0.001307,0.001307,0.001307
9,2140.39,0.66081,0.57626,0.31651,nan,0.83952,0.62841,0.21384,nan,nan,nan,0.001208,0.001208,0.001208
10,2340.9,0.64524,0.56812,0.30425,nan,0.91535,0.6591,0.22775,nan,nan,nan,0.001109,0.001109,0.001109
11,2541.95,0.60686,0.55176,0.32718,nan,0.90317,0.66463,0.2241,nan,nan,nan,0.00101,0.00101,0.00101
12,2776.28,0.60729,0.54377,0.32333,0.72228,0.75,0.69087,0.23997,0.73335,0.5023,0.48019,0.000911,0.000911,0.000911
13,3013.43,0.59665,0.53366,0.31692,0.72922,0.76184,0.6942,0.23519,0.73529,0.49593,0.48085,0.000812,0.000812,0.000812
14,3252.46,0.58426,0.54093,0.30963,0.72793,0.76523,0.69568,0.2411,0.72516,0.49335,0.47704,0.000713,0.000713,0.000713
15,3493.27,0.58189,0.53612,0.30621,nan,0.8989,0.71656,0.24592,nan,nan,nan,0.000614,0.000614,0.000614
16,3733.72,0.57354,0.53555,0.30264,0.7226,0.77832,0.70141,0.24337,0.72351,0.48584,0.47795,0.000515,0.000515,0.000515
17,3965.91,0.56463,0.53647,0.29508,nan,0.89829,0.70172,0.23845,nan,nan,nan,0.000416,0.000416,0.000416
18,4202.05,0.55852,0.52894,0.2916,0.7435,0.77954,0.70448,0.2419,0.72297,0.50335,0.47132,0.000317,0.000317,0.000317
19,4454.27,0.55647,0.52847,0.29134,0.7395,0.76847,0.71913,0.24983,0.72245,0.49424,0.47088,0.000218,0.000218,0.000218
20,4714.32,0.54638,0.52173,0.28647,nan,0.90438,0.71286,0.24536,nan,nan,nan,0.000119,0.000119,0.000119
