Name,Plot,Entry,Rep,Location,Planting.date.date,Root Dry Weight (g),Shoot Dry Weight (g),Population (text),Shoot fresh weight (g),Root fresh weight (g),Nodule fresh weight (mg),Specific nodule dry weight (mg),Specific nodule fresh weight (mg),Nodule dry weight (mg),Number of nodules (count),Image ID1,Image ID2,Image ID3,Image ID4
Eston,,1,1,,,0.0596,0.0763,LR-26,0.57,0.56,27.6,0.2133,1.84,3.2,15,7165,,,
Eston,,1,2,,,0.1845,0.1619,LR-26,0.78,1.06,20.6,0.3583,1.7167,4.3,12,7591,,,
Eston,,1,3,,,0.0275,0.0113,LR-26,0.09,0.09,0,,,0,0,7378,,,
IG 72815,,2,1,,,0.0051,0.0048,LR-26,0.12,0.04,1.9,0,0.475,0,4,7166,,,
IG 72815,,2,2,,,0.0048,0,LR-26,0,0.01,0,,,0,0,7593,,,
IG 72815,,2,3,,,0.0032,0.0022,LR-26,0,0.02,0,,,0,0,7379,,,
LR 26-10,,7,1,,,0.0142,0.0148,LR-26,0.09,0.14,6.1,0.04,1.22,0.2,5,7171,,,
LR 26-10,,7,2,,,0.011,0.0106,LR-26,0.02,0.16,0,,,0,0,7598,,,
LR 26-10,,7,3,,,0.0759,0.1063,LR-26,0.47,0.66,43.8,0.165,1.095,6.6,40,7384,,,
LR 26-105,,50,1,,,0.0054,0.0042,LR-26,0.01,0.07,0,,,0,0,7214,,,
LR 26-105,,50,2,,,0.0064,0.007,LR-26,0.02,0.1,0,,,0,0,7641,,,
LR 26-105,,50,3,,,0.0546,0.0827,LR-26,0.41,0.68,50.6,0.3227,2.3,7.1,22,7427,,,
LR 26-107,,51,1,,,0.015,0.0107,LR-26,0.02,0.27,0,,,0,0,7215,,,
LR 26-107,,51,2,,,0.0064,0.0036,LR-26,0.01,0.11,0,,,0,0,7642,,,
LR 26-107,,51,3,,,0.1062,0.1644,LR-26,0.89,1.71,76.4,0.431,2.6345,12.5,29,7428,,,
LR 26-108,,52,1,,,0.0147,0.0147,LR-26,0.04,0.23,3.1,0,1.0333,0,3,7216,,,
LR 26-108,,52,2,,,0.009,0.01,LR-26,0.04,0.14,0,,,0,0,7643,,,
LR 26-108,,52,3,,,0.048,0.0524,LR-26,0.27,0.66,24.7,0.3818,2.2455,4.2,11,7429,,,
LR 26-110,,53,1,,,0.003,0.006,LR-26,0.01,0.05,0,,,0,0,7217,,,
LR 26-110,,53,2,,,0.0063,0.0009,LR-26,0.01,0.03,0,,,0,0,7644,,,
LR 26-110,,53,3,,,0.0081,0.0089,LR-26,0.06,0.1,0,,,0,0,7430,,,
LR 26-111,,54,1,,,0.0124,0.0126,LR-26,0.02,0.14,0,,,0,0,7218,,,
LR 26-111,,54,2,,,0.0072,0.0074,LR-26,0.02,0.11,0,,,0,0,7645,,,
LR 26-111,,54,3,,,0.0389,0.0548,LR-26,0.32,0.57,21,0.3286,3,2.3,7,7431,,,
LR 26-112,,55,1,,,0.0094,0.0192,LR-26,0.04,0.19,6.2,0,2.0667,0,3,7219,,,
LR 26-112,,55,2,,,0.0065,0.0031,LR-26,0.01,0.05,0,,,0,0,7646,,,
LR 26-112,,55,3,,,0.1343,0.2661,LR-26,1.47,2.1,125.5,0.5545,3.803,18.3,33,7432,,,
LR 26-113,,56,1,,,0.0055,0.0038,LR-26,0.01,0.06,0,,,0,0,7220,,,
LR 26-113,,56,2,,,0.0023,0.0033,LR-26,0.01,0.04,0,,,0,0,7647,,,
LR 26-113,,56,3,,,0.0042,0.0003,LR-26,0,0.03,0,,,0,0,7433,,,
LR 26-115,,57,1,,,0.0054,0.009,LR-26,0.02,0.1,0,,,0,0,7221,,,
LR 26-115,,57,2,,,0.0086,0.0064,LR-26,0.01,0.11,0,,,0,0,7648,,,
LR 26-115,,57,3,,,0.0231,0.0142,LR-26,0.1,0.28,4.6,0.0333,1.5333,0.1,3,7434,,,
LR 26-116,,58,1,,,0.0073,0.0012,LR-26,0.01,0.13,2.5,0.0333,0.8333,0.1,3,7222,,,
LR 26-116,,58,2,,,0.0068,0.0072,LR-26,0.01,0.08,0,,,0,0,7649,,,
LR 26-116,,58,3,,,0.0359,0.0425,LR-26,0.29,0.5,23,0.1667,1.5333,2.5,15,7435,,,
LR 26-117,,59,1,,,0.0128,0.0261,LR-26,0.06,0.19,3.8,0.25,1.9,0.5,2,7223,,,
LR 26-117,,59,2,,,0.0064,0.0075,LR-26,0.02,0.1,0,,,0,0,7650,,,
LR 26-117,,59,3,,,0.1374,0.1972,LR-26,1.02,1.95,115.5,0.4065,2.5109,18.7,46,7436,,,
LR 26-118,,60,1,,,0.0119,0.0047,LR-26,0.01,0.09,0,,,0,0,7224,,,
LR 26-118,,60,2,,,0.0026,0.0085,LR-26,0.01,0.04,0,,,0,0,7651,,,
LR 26-118,,60,3,,,0.0543,0.0708,LR-26,0.35,0.74,26.2,0.2278,1.4556,4.1,18,7437,,,
LR 26-119,,61,1,,,0.0073,0.0048,LR-26,0.01,0.07,0,,,0,0,7225,,,
LR 26-119,,61,2,,,,,LR-26,,,0,,,0,,7652,,,
LR 26-119,,61,3,,,0.0172,0.0383,LR-26,0.26,0.28,19,0.05,0.7308,1.3,26,7438,,,
LR 26-12,,8,1,,,0.0561,0.0677,LR-26,0.35,0.81,26.7,0.15,1.2136,3.3,22,7172,,,
